Trade;UpdateTime;UpdatedDay;UpdatedTime;TradeTime;TradedDay;TradedTime;Desk;CapturedBy;TradeStatus;TraderId;Instrument;Reason;Nominal;FloatRef;LastResetDate;LastResetRate;Theta;Loss;Unexplained;EventTypeCategoryLevel1;BusinessLineLevel1;LossIndicator;exposure
3957339;02/01/2013 08:55:21 AM;2;0,371770833;15/01/2009 09:47:14 AM;15;0,4078009259;MM;UNAUTHORISED;BO Confirmed;DIRECTOR;Call Deposit;System Update Call Accounts;0;Missing;;;;0;;EL6;BL5;0;1447,96397
3876422;02/01/2013 08:58:16 AM;2;0,373796296;31/12/2008 09:30:37 AM;31;0,3962615741;MM;PROD ACCOUNTANT;BO Confirmed;ANALYST;Call Deposit;Capture Errors - Direction / Amount / Rate / CP;0;Missing;;;;0;;EL7;BL3;0;1462,977535
3957339;02/01/2013 09:08:41 AM;2;0,381030093;15/01/2009 09:47:14 AM;15;0,4078009259;MM;UNAUTHORISED;BO Confirmed;DIRECTOR;Call Deposit;System Update Call Accounts;0;Missing;;;;0;;EL6;BL5;0;1447,973229
3957339;02/01/2013 09:22:10 AM;2;0,390393519;15/01/2009 09:47:14 AM;15;0,4078009259;MM;UNAUTHORISED;BO Confirmed;DIRECTOR;Call Deposit;System Update Call Accounts;0;Missing;;;;0;;EL6;BL5;0;1447,982593
2035209;02/01/2013 10:01:15 AM;2;0,417534722;13/03/2008 11:29:01 AM;13;0,4784837963;MM;PROD ACCOUNTANT;BO Confirmed;ANALYST;Call Deposit;Capture Errors - Direction / Amount / Rate / CP;0;Missing;02/01/2013;6,25;93640,151;0;-2,98E-08;EL7;BL4;0;1755,939051
18547809;02/01/2013 10:11:03 AM;2;0,424340278;04/01/2012 08:35:33 AM;4;0,3580208333;Commodities;TECHSUPPORT;BO Confirmed;VICE PRINCIPAL;Future/Forward;Payments Related;0;Missing;;;;0;;EL4;BL2;0;364,0663194
24251679;02/01/2013 10:18:16 AM;2;0,429351852;16/11/2012 10:56:11 AM;16;0,4556828704;Equity;TECHSUPPORT;BO-BO Confirmed;DIRECTOR;Swap;Payments Related;0;JIBAR;28/10/2010;5,905;-1,986348819;2811;-0,047760793;EL4;BL2;1;46,97366898
24734662;11/01/2013 02:13:08 PM;11;0,592453704;02/01/2013 04:12:01 PM;2;0,6750115741;Africa;TECHSUPPORT;BO Confirmed;ANALYST;CurrSwap;Early Termination / Delivery / Close out;-49600000000;TBILL-3M;;;;0;;EL1;BL2;0;8,91744213
21385305;02/01/2013 10:44:31 AM;2;0,447581019;20/06/2012 12:00:00 PM;20;0,5000000000;Equity;TECHSUPPORT;BO-BO Confirmed;DIRECTOR;TotalReturnSwap;Corrected NDEUSSA Reset Level;909189;LIBOR;03/10/2012;0,3525;-107,436886;0;0,066013858;EL7;BL2;0;195,947581
21385018;02/01/2013 10:45:11 AM;2;0,448043981;20/06/2012 12:00:00 PM;20;0,5000000000;Equity;TECHSUPPORT;BO-BO Confirmed;DIRECTOR;TotalReturnSwap;Corrected NDEUSSA Reset Level;0;Missing;;0;-50,50343772;0;-0,95674091;EL7;BL2;0;195,948044
